爵迹（雾雪零尘+永生之海）银尘双封面海报24小时限时抢订版,2016年08月,郭敬明,湖南文艺出版社,69.6,套装包含雾雪零尘+永生之海+加盖首发纪念章+银尘剧版4开海报，限8月12日预订，还有机会获得 等身高海报。16年8月31日前成功购买即可获赠16P郭敬明修改手稿电子版，以电子书形式装入您的账户。 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
【附dvd+特别明信片】正版 一切都是因为你 听见你的声音主演李钟硕为你读诗偶吧入伍前作品明星写真书韩流影视演员李钟硕新书,2019年02月,李钟硕,现代出版社,63.7, 
片寄凉太写真集 Goodbye，white  DFH天闻角川日本人气偶像演员明星写真,2018年08月,片寄凉太,浙江人民美术出版社,68.0,16K全彩98P  日本人气演员、偶像片寄凉太在GENERATIONS出道五周年之际出版的*本个人写真集 
大汉情缘之云中歌纪念画册,2015年11月,东阳星瑞影视文化传媒有限公司,江苏文艺出版社,27.4,Angelababy、杜淳、陆毅、陈晓、杨蓉领衔主演，随书附赠全套5张精美剧照 
詹姆斯·卡梅隆的“泰坦尼克号””（独家中文授权限量珍藏版，全景展现影片拍摄时不为人知的幕后故事，不可错过的珍藏特辑）（现货发售）,2012年03月,詹姆斯,外文出版社,73.5, 
盗墓笔记季播剧写真集《铁三角》,2015年09月,漫工厂,中国文史出版社,46.9, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
库存尾品【正版】彭于晏垦丁15x6-垦丁人的故事与道地玩法//影视娱乐偶像明星个人写真集书籍为了你我愿意热爱整个世界+暗恋,2019年02月,唐家三少,湖南文艺,31.2, 
《华夏美学●美学四讲》(增订本),2016年02月,生活.读书.新知三联,生活.读书.新知三联,40.0, 
【正版】自在YOUNG 杨洋//影视娱乐明星偶像自传人物写真正版书籍见风刘昊然而立24张艺兴壹刻李易峰马天宇我本浪人,2019年02月,杨洋,北京联合,35.7, 
幻城剧版完全指南：幕后及官方艺术设定集—,2016年07月,耀客传媒,沈阳出版社,136.6, 
那年，青春期（附女主角海报1张；附赠卡贴2张；附赠书签1张）,2012年10月,管晓杰,北京理工大学出版社,23.9, 
现货正版 片寄凉太写真集 Goodbye white 中文版 天文角川 DFH日本人气演员偶像小鲜肉明星写真,2019年01月,片寄凉太,浙江人民美术出版社,66.0,片寄凉太写真集 Goodbye，white 天闻角川出品 
步步惊情·官方影像书,2014年04月,唐人电影,中国电影出版社,58.0, 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
幻城剧版完全指南：幕后及官方艺术设定集—（马天宇双封面预售限量版）,2016年07月,耀客传媒,沈阳出版社,149.1,就算是棋子，抗争之心也从未放弃！超值赠送马天宇经典语录明信片一套！7月燃爆一夏！国内特效电视剧标杆之作！ 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
爵迹（雾雪零尘+永生之海）苍白少年双封面海报24小时限时抢订版,2016年08月,郭敬明,湖南文艺出版社,69.6,套装包含雾雪零尘+永生之海+加盖首发纪念章+苍白少年剧版4开海报，限8月10日预订，还有机会获得等身高海报。16年8月31日前成功购买即可获赠16P郭敬明修改手稿电子版，以电子书形式装入您的账户中。 狂欢618，青春动漫每满100减50！>>49元5件，刚好包邮带走点这里>>
【随书赠送10张主演签名卡片+2张主演贴纸】太阳的后裔 写真集（精）官方授权中文简体 宋仲基宋慧乔写真 影视明星强势来袭,2019年02月,太阳的后裔文化事业专业公司,译林出版社,51.7,精装硬壳 主演签名卡片 2张主演贴纸 
幻城剧版完全指南：幕后及官方艺术设定集(通售版) 9787544175357 耀客传媒 沈阳出版社,2016年07月,耀客传媒,沈阳出版社,188.0,【正版现货，下单即发】有问题随时联系或者咨询在线客服！ 
幻城剧版完全指南,2016年07月,耀客传媒,沈阳出版社,136.2, 
爵迹（雾雪零尘+永生之海）幽冥双封面海报24小时限时抢订版,2016年08月,郭敬明,湖南文艺出版社,48.0,套装包含雾雪零尘+永生之海 +加盖首发纪念章+ 幽冥剧版4开海报，限8月11日预订，还有机会获得 等身高海报。16年8月31日前成功购买即可获赠16P郭敬明修改手稿电子版，以电子书形式装入您的账户。 
爵迹（雾雪零尘+永生之海）麒零双封面海报24小时限时抢订版,2016年08月,郭敬明,湖南文艺出版社,48.0,套装包含雾雪零尘+永生之海+ 加盖首发纪念章 +麒零剧版4开海报，限8月9日预订，还有机会获得 等身高海报。16年8月31日前成功购买即可获赠16P郭敬明修改手稿电子版，以电子书形式装入您的账户中。 
知韩 Super Junior&那年冬天，风在吹 (韩)Korea Entertainment Media 9787894292506 暂无  正品 知礼图书专营店,2013年08月,Korea,暂无,11.1,正版图书，请放心购买！客服回复不过来请致电15726655835 调货周期为2-3天 618年中狂欢名店好书5折封顶，前往疯抢！
那年冬天 风在吹 (韩)卢熙京 唐建军 百花洲文艺出版社 9787550009660,2014年07月,卢熙京,百花洲文艺出版社,108.0,【正版图书，闪电发货】 
幻城剧版完全指南：幕后及官方艺术设定集—（冯绍峰双封面预售限量版）,2016年07月,耀客传媒,沈阳出版社,149.1,许多看似绝境的悬崖，都是成长的必经之路。超值赠送冯绍峰经典语录明信片一套！7月燃爆一夏！国内特效电视剧标杆之作！ 狂欢618，青春动漫每满100减50！>>9.9一件49元5件，点击进入狂欢价专区>>
片寄凉太写真集 Goodbye，white,2018年08月,片寄凉太,浙江人民美术出版社,80.0, 
一念之差:关于风险的故事与数字 新知文库74,2014年02月,花山文艺出版社,花山文艺出版社,41.0, 
【正版】愿你喜欢笑也喜欢自己//唐艺昕暖心图文随笔集影视娱乐圈明星写真传记书籍主演独步天下,2016年08月,唐艺昕,中国友谊出版公司,34.2, 
爵迹（雾雪零尘 永生之海）VIP专享，郭敬明亲笔签名版套装（少量库存，预售从速）,2016年08月,郭敬明,湖南文艺出版社,48.0,郭敬明亲笔签名版，限量1000本(8月5日-15日，每日限量100套)！16年8月31日前成功购买即可获赠16P郭敬明修改手稿电子版，以电子书形式装入您的账户中。8月31日统一发放 
正版 用时间换天分 越努力越幸运 浪漫天降关晓彤著 影视明星写真职业演艺生涯奋斗历程图文随笔集青春文学书籍 畅销书籍,2015年07月,范婉,安徽文艺出版社,31.2,官方正版 越努力越幸运 关晓彤著 
探秘地球世界世界/童喜乐魔幻互动百科 让孩子尖叫的AR/VR魔法书 4D实时动画趣味翻翻乐游戏互动4D 科普书籍海天【深圳书城】,2019年02月,迈克·富兰克林,海天出版社,67.0, 
库存尾品【正版】明道Start罗马诱惑//影视娱乐演员歌星主持人个人写真集明星人物传记书籍我对时间有耐心陈乔恩李易峰,2011年10月,明道,沈阳出版社,31.2, 
"神探夏洛克 盖·亚当斯 ,陈琅 9787539963365 江苏文艺出版社  正品 知礼图书专营店",2013年08月,盖·亚当斯,江苏文艺出版社,14.9,正版图书，请放心购买！客服回复不过来请致电15726655835 调货周期为2-3天 618年中狂欢名店好书5折封顶，前往疯抢！
《庄子纂笺》 畅销书籍 正版 历史 钱穆作品系列,2016年03月,生活·读书·新知三联,生活·读书·新知三联,35.0, 
h38  导演创作完全手册-插图第5版 经典教程电影学院教材课本 导演教程书籍可搭导演的诞生如何指导演员后浪电影学院,2014年04月,Michael,世界图书出版公司,87.2, 
神探夏洛克官方畅销侦探小说SherlockTheCasebook,2016年01月,暂无,江苏文艺出版社,35.0, 
盗墓笔记季播剧写真集《铁三角》李易峰 杨洋主演 9787503464966 漫工厂&欢瑞世纪 中国文史出版社,2015年09月,漫工厂,中国文史出版社,68.0,【正版现货，下单即发】有问题随时联系或者咨询在线客服！ 
同学录套装1+2全2册 书海沧生著 继《十年一品温如言》《昭奚旧草》后2018新书青春文学言情小说书籍,2018年07月,书海沧生,百花洲文艺出版社,59.7, 
扶摇皇后（套装6册）作者:天下归元 古代言情小说,2018年06月,天下归元,百花洲文艺出版社,245.0,全新正版当天发货 
